NMEA message,PGHP time stamp
"!BSVDM,1,1,,B,B3@nhbh008>L2W`15G7Q3woUoP06,0*2C","$PGHP,1,2018,11,19,11,32,47,282,219,,2190047,1,*19"
"!BSVDM,1,1,,B,H3@nhbhp4tlT000000000000000,2*31","$PGHP,1,2018,11,19,11,34,2,677,219,,2190047,1,*20"
"!BSVDM,1,1,,A,B3@nhbh008>L2e815G7Q3woUoP06,0*45","$PGHP,1,2018,11,19,11,35,47,104,219,,2190047,1,*13"
"!BSVDM,1,1,,B,B3@nhbh008>L2a815HSQ3woUoP06,0*29","$PGHP,1,2018,11,19,11,38,47,377,219,,2190047,1,*18"
"!BSVDM,1,1,,A,H3@nhbhp4tlT000000000000000,2*32","$PGHP,1,2018,11,19,11,40,2,897,219,,2190047,1,*23"
"!BSVDM,1,1,,A,H3@nhblUC=D4gUTH@4jkom000000,0*0E","$PGHP,1,2018,11,19,11,40,13,318,219,,2190047,1,*1F"
"!BSVDM,1,1,,A,B3@nhbh008>L2W`15GSQ3woUoP06,0*4B","$PGHP,1,2018,11,19,11,41,47,824,219,,2190047,1,*1B"
"!BSVDM,1,1,,B,H3@nhbhp4tlT000000000000000,2*31","$PGHP,1,2018,11,19,11,46,3,586,219,,2190047,1,*29"
"!BSVDM,1,1,,B,H3@nhblUC=D4gUTH@4jkom000000,0*0D","$PGHP,1,2018,11,19,11,46,13,773,219,,2190047,1,*10"
"!BSVDM,1,1,,A,B3@nhbh008>L2a`15GwQ3woUoP06,0*59","$PGHP,1,2018,11,19,11,47,47,326,219,,2190047,1,*14"
"!BSVDM,1,1,,B,B3@nhbh008>L2c815GWQ3woUoP06,0*20","$PGHP,1,2018,11,19,11,50,47,553,219,,2190047,1,*16"
"!BSVDM,1,1,,A,H3@nhbhp4tlT000000000000000,2*32","$PGHP,1,2018,11,19,11,52,5,429,219,,2190047,1,*2E"
"!BSVDM,1,1,,A,H3@nhblUC=D4gUTH@4jkom000000,0*0E","$PGHP,1,2018,11,19,11,52,17,566,219,,2190047,1,*17"
"!BSVDM,1,1,,A,B3@nhbh008>L2S`15H3Q3wp5oP06,0*5F","$PGHP,1,2018,11,19,11,53,48,686,219,,2190047,1,*11"
"!BSVDM,1,1,,B,H3@nhblUC=D4gUTH@4jkom000000,0*0D","$PGHP,1,2018,11,19,11,58,13,369,219,,2190047,1,*10"
"!BSVDM,1,1,,B,B3@nhbh008>L2c815GWQ3wp5oP06,0*5F","$PGHP,1,2018,11,19,12,2,48,723,219,,2190047,1,*28"
"!BSVDM,1,1,,A,H3@nhbhp4tlT000000000000000,2*32","$PGHP,1,2018,11,19,12,4,3,634,219,,2190047,1,*16"
"!BSVDM,1,1,,B,B3@nhbh008>L2V`15GSQ3woUoP06,0*49","$PGHP,1,2018,11,19,12,8,47,553,219,,2190047,1,*28"
"!BSVDM,1,1,,B,H3@nhbhp4tlT000000000000000,2*31","$PGHP,1,2018,11,19,12,10,4,432,219,,2190047,1,*20"
"!BSVDM,1,1,,B,H3@nhblUC=D4gUTH@4jkom000000,0*0D","$PGHP,1,2018,11,19,12,10,15,946,219,,2190047,1,*1E"
"!BSVDM,1,1,,A,B3@nhbh008>L2U815GgQ3woUoP06,0*25","$PGHP,1,2018,11,19,12,11,47,257,219,,2190047,1,*13"
"!BSVDM,1,1,,A,H3@nhblUC=D4gUTH@4jkom000000,0*0E","$PGHP,1,2018,11,19,12,16,12,906,219,,2190047,1,*1B"
